State,Season,Year Month,Age Category,Sex,Race,Monthly Rate,Rate Type
CO,2023-24,202404.0,≥18 years (Adults),All,Hispanic,10.1,Observed
CO,2023-24,202402.0,≥18 years (Adults),All,Hispanic,23.9,Observed
CO,2023-24,202401.0,≥18 years (Adults),All,Hispanic,35.4,Observed
CO,2023-24,202311.0,≥18 years (Adults),All,Hispanic,63.2,Observed
CO,2023-24,202310.0,≥18 years (Adults),All,Hispanic,56,Observed
CO,2023-24,202403.0,≥18 years (Adults),All,Hispanic,17.7,Observed
CO,2023-24,202409.0,≥18 years (Adults),All,Hispanic,31.6,Observed
CO,2023-24,202408.0,≥18 years (Adults),All,Hispanic,35.4,Observed
CO,2023-24,202405.0,≥18 years (Adults),All,Hispanic,10.1,Observed
CO,2023-24,202406.0,≥18 years (Adults),All,Hispanic,16.3,Observed
CO,2023-24,202407.0,≥18 years (Adults),All,Hispanic,34,Observed
CO,2023-24,202312.0,≥18 years (Adults),All,Hispanic,45.5,Observed
COVID-NET,2023-24,202404.0,1-4 years,All,All,1.9,Observed
COVID-NET,2023-24,202402.0,1-4 years,All,All,5.9,Observed
COVID-NET,2023-24,202401.0,1-4 years,All,All,8.1,Observed
COVID-NET,2023-24,202311.0,1-4 years,All,All,5.3,Observed
COVID-NET,2023-24,202310.0,1-4 years,All,All,4.1,Observed
COVID-NET,2023-24,202403.0,1-4 years,All,All,3.1,Observed
COVID-NET,2023-24,202409.0,1-4 years,All,All,4.2,Observed
COVID-NET,2023-24,202408.0,1-4 years,All,All,5.5,Observed
COVID-NET,2023-24,202405.0,1-4 years,All,All,1.6,Observed
COVID-NET,2023-24,202406.0,1-4 years,All,All,1.7,Observed
COVID-NET,2023-24,202407.0,1-4 years,All,All,3.7,Observed
COVID-NET,2023-24,202312.0,1-4 years,All,All,8.2,Observed
MN,2023-24,202404.0,18-29 years,All,All,1.3,Observed
MN,2023-24,202402.0,18-29 years,All,All,3.3,Observed
MN,2023-24,202401.0,18-29 years,All,All,9.2,Observed
MN,2023-24,202311.0,18-29 years,All,All,7.5,Observed
MN,2023-24,202310.0,18-29 years,All,All,5,Observed
MN,2023-24,202403.0,18-29 years,All,All,1.9,Observed
MN,2023-24,202409.0,18-29 years,All,All,2.9,Observed
MN,2023-24,202408.0,18-29 years,All,All,5.6,Observed
MN,2023-24,202405.0,18-29 years,All,All,1.5,Observed
MN,2023-24,202406.0,18-29 years,All,All,1.7,Observed
MN,2023-24,202407.0,18-29 years,All,All,4.2,Observed
MN,2023-24,202312.0,18-29 years,All,All,9.2,Observed
CA,2023-24,202404.0,75-84 years,All,All,51.5,Observed
CA,2023-24,202402.0,75-84 years,All,All,82.5,Observed
CA,2023-24,202401.0,75-84 years,All,All,145.1,Observed
CA,2023-24,202311.0,75-84 years,All,All,98.8,Observed
CA,2023-24,202310.0,75-84 years,All,All,90.4,Observed
CA,2023-24,202403.0,75-84 years,All,All,62.6,Observed
CA,2023-24,202409.0,75-84 years,All,All,74.7,Observed
CA,2023-24,202408.0,75-84 years,All,All,149.3,Observed
CA,2023-24,202405.0,75-84 years,All,All,58.9,Observed
CA,2023-24,202406.0,75-84 years,All,All,116.7,Observed
CA,2023-24,202407.0,75-84 years,All,All,176.1,Observed
CA,2023-24,202312.0,75-84 years,All,All,162.5,Observed
NM,2023-24,202404.0,50-64 years,All,All,10.9,Observed
NM,2023-24,202402.0,50-64 years,All,All,18.2,Observed
NM,2023-24,202401.0,50-64 years,All,All,23.5,Observed
NM,2023-24,202311.0,50-64 years,All,All,48.2,Observed
NM,2023-24,202310.0,50-64 years,All,All,32.6,Observed
NM,2023-24,202403.0,50-64 years,All,All,13,Observed
NM,2023-24,202409.0,50-64 years,All,All,15.6,Observed
NM,2023-24,202408.0,50-64 years,All,All,18.7,Observed
NM,2023-24,202405.0,50-64 years,All,All,8.3,Observed
NM,2023-24,202406.0,50-64 years,All,All,9.1,Observed
NM,2023-24,202407.0,50-64 years,All,All,17.8,Observed
NM,2023-24,202312.0,50-64 years,All,All,30.8,Observed
COVID-NET,2023-24,202404.0,0-17 years (Children),All,"Black, non-Hispanic",1.8,Observed
COVID-NET,2023-24,202402.0,0-17 years (Children),All,"Black, non-Hispanic",6.5,Observed
COVID-NET,2023-24,202401.0,0-17 years (Children),All,"Black, non-Hispanic",7.1,Observed
COVID-NET,2023-24,202311.0,0-17 years (Children),All,"Black, non-Hispanic",3.9,Observed
COVID-NET,2023-24,202310.0,0-17 years (Children),All,"Black, non-Hispanic",3.1,Observed
COVID-NET,2023-24,202403.0,0-17 years (Children),All,"Black, non-Hispanic",2.5,Observed
COVID-NET,2023-24,202409.0,0-17 years (Children),All,"Black, non-Hispanic",4,Observed
COVID-NET,2023-24,202408.0,0-17 years (Children),All,"Black, non-Hispanic",5.2,Observed
COVID-NET,2023-24,202405.0,0-17 years (Children),All,"Black, non-Hispanic",1.3,Observed
COVID-NET,2023-24,202406.0,0-17 years (Children),All,"Black, non-Hispanic",1.7,Observed
COVID-NET,2023-24,202407.0,0-17 years (Children),All,"Black, non-Hispanic",3.4,Observed
COVID-NET,2023-24,202312.0,0-17 years (Children),All,"Black, non-Hispanic",6.9,Observed
MD,2023-24,202404.0,All,All,"A/PI, non-Hispanic",3,Observed
MD,2023-24,202402.0,All,All,"A/PI, non-Hispanic",10.9,Observed
MD,2023-24,202401.0,All,All,"A/PI, non-Hispanic",10,Observed
MD,2023-24,202311.0,All,All,"A/PI, non-Hispanic",7.9,Observed
MD,2023-24,202310.0,All,All,"A/PI, non-Hispanic",6.3,Observed
MD,2023-24,202403.0,All,All,"A/PI, non-Hispanic",5.6,Observed
MD,2023-24,202409.0,All,All,"A/PI, non-Hispanic",4.9,Observed
MD,2023-24,202408.0,All,All,"A/PI, non-Hispanic",7,Observed
MD,2023-24,202405.0,All,All,"A/PI, non-Hispanic",3,Observed
MD,2023-24,202406.0,All,All,"A/PI, non-Hispanic",4.9,Observed
MD,2023-24,202407.0,All,All,"A/PI, non-Hispanic",7,Observed
MD,2023-24,202312.0,All,All,"A/PI, non-Hispanic",8.6,Observed
CT,2023-24,202404.0,All,All,"White, non-Hispanic",10.6,Observed
CT,2023-24,202402.0,All,All,"White, non-Hispanic",30.3,Observed
CT,2023-24,202401.0,All,All,"White, non-Hispanic",61,Observed
CT,2023-24,202311.0,All,All,"White, non-Hispanic",41.5,Observed
CT,2023-24,202310.0,All,All,"White, non-Hispanic",41,Observed
CT,2023-24,202403.0,All,All,"White, non-Hispanic",18.7,Observed
CT,2023-24,202409.0,All,All,"White, non-Hispanic",28.6,Observed
CT,2023-24,202408.0,All,All,"White, non-Hispanic",33.7,Observed
CT,2023-24,202405.0,All,All,"White, non-Hispanic",9.5,Observed
CT,2023-24,202406.0,All,All,"White, non-Hispanic",11.1,Observed
CT,2023-24,202407.0,All,All,"White, non-Hispanic",20.8,Observed
CT,2023-24,202312.0,All,All,"White, non-Hispanic",66.7,Observed
OR,2023-24,202404.0,≥18 years (Adults),Female,All,20,Observed
OR,2023-24,202402.0,≥18 years (Adults),Female,All,76.9,Observed
OR,2023-24,202401.0,≥18 years (Adults),Female,All,121.5,Observed
OR,2023-24,202311.0,≥18 years (Adults),Female,All,79.8,Observed
OR,2023-24,202310.0,≥18 years (Adults),Female,All,113.3,Observed
OR,2023-24,202403.0,≥18 years (Adults),Female,All,45.8,Observed
OR,2023-24,202409.0,≥18 years (Adults),Female,All,83.3,Observed
OR,2023-24,202408.0,≥18 years (Adults),Female,All,90.4,Observed
OR,2023-24,202405.0,≥18 years (Adults),Female,All,27.6,Observed
OR,2023-24,202406.0,≥18 years (Adults),Female,All,64.6,Observed
OR,2023-24,202407.0,≥18 years (Adults),Female,All,88,Observed
OR,2023-24,202312.0,≥18 years (Adults),Female,All,108,Observed
CO,2023-24,202404.0,≥18 years (Adults),Male,All,18.4,Observed
CO,2023-24,202402.0,≥18 years (Adults),Male,All,46.1,Observed
CO,2023-24,202401.0,≥18 years (Adults),Male,All,78.7,Observed
CO,2023-24,202311.0,≥18 years (Adults),Male,All,104.1,Observed
CO,2023-24,202310.0,≥18 years (Adults),Male,All,113,Observed
CO,2023-24,202403.0,≥18 years (Adults),Male,All,28,Observed
CO,2023-24,202409.0,≥18 years (Adults),Male,All,68.2,Observed
CO,2023-24,202408.0,≥18 years (Adults),Male,All,68.2,Observed
CO,2023-24,202405.0,≥18 years (Adults),Male,All,25,Observed
CO,2023-24,202406.0,≥18 years (Adults),Male,All,32.3,Observed
CO,2023-24,202407.0,≥18 years (Adults),Male,All,60.9,Observed
CO,2023-24,202312.0,≥18 years (Adults),Male,All,90.6,Observed
CT,2022-23,202304.0,≥75 years,All,All,95.3,Observed
CT,2022-23,202212.0,≥75 years,All,All,552.9,Observed
CT,2022-23,202301.0,≥75 years,All,All,539.1,Observed
CT,2022-23,202210.0,≥75 years,All,All,720.9,Observed
CT,2022-23,202308.0,≥75 years,All,All,159.2,Observed
CT,2022-23,202307.0,≥75 years,All,All,67.7,Observed
CT,2022-23,202305.0,≥75 years,All,All,62.7,Observed
CT,2022-23,202302.0,≥75 years,All,All,235.7,Observed
CT,2022-23,202306.0,≥75 years,All,All,61.4,Observed
CT,2022-23,202303.0,≥75 years,All,All,184.3,Observed
CT,2022-23,202211.0,≥75 years,All,All,352.3,Observed
CT,2022-23,202309.0,≥75 years,All,All,208.1,Observed
MN,2022-23,202304.0,40-49 years,All,All,6.5,Observed
MN,2022-23,202212.0,40-49 years,All,All,25.7,Observed
MN,2022-23,202301.0,40-49 years,All,All,17.7,Observed
MN,2022-23,202210.0,40-49 years,All,All,38.4,Observed
MN,2022-23,202308.0,40-49 years,All,All,3,Observed
MN,2022-23,202307.0,40-49 years,All,All,2,Observed
MN,2022-23,202305.0,40-49 years,All,All,2.5,Observed
MN,2022-23,202302.0,40-49 years,All,All,12.5,Observed
MN,2022-23,202306.0,40-49 years,All,All,0.5,Observed
MN,2022-23,202303.0,40-49 years,All,All,9.2,Observed
MN,2022-23,202211.0,40-49 years,All,All,22,Observed
MN,2022-23,202309.0,40-49 years,All,All,6.5,Observed
GA,2022-23,202304.0,18-49 years,All,All,3.7,Observed
GA,2022-23,202212.0,18-49 years,All,All,21.5,Observed
GA,2022-23,202301.0,18-49 years,All,All,17.9,Observed
GA,2022-23,202210.0,18-49 years,All,All,26,Observed
